"question","answer"
"Fen Bilimleri Enstitüsü Sosyal Medya Hesaplarını ve web
sayfasını güncel haberlere ve duyurulara ulaşmak için takip
ediniz.","Web Sayfası: https://fen.firat.edu.tr/tr, Instagram: https://www.instagram.com/firatfenbilimleri/ & X: https://x.com/Fenstitusu"
"Her yarıyılda toplam AKTS (ECTS) kaç olmalıdır."," 30 AKTS (ETCS)"
"Tezli Yüksek Lisans öğrencileri mezuniyet için gerekli bilgiler","FBE610 Bilimsel Araştırma Yöntemleri dahil, 21 Ulusal krediden az olmamak koşulu ile en az 7 dersi  başarmak zorundadır."
"Derslere Devam Durumu (devamsızlık hakkında)","Tüm programlarda teorik derslere en az 
%70, uygulamalı derslere ise en az %80 
devam edilmesi zorunludur.  Devam şartını sağlamayan öğrenci o dersten başarısız sayılır ve yılsonu sınavlarına alınmaz."
"Ders Tekrarı","Başarısız olunan bir dersin tekrar 
alınması hâlinde derse devam şartı 
aranır."
"Derslerde ölçme ve değerlendirme","Bir dersten başarılı sayılmak için yüksek 
lisansta en az DC, doktorada en az CB notu 
almak gerekir."
"Seminer Dersi ve Yürütülmesi","İlk dört (4) dönemde Seminer dersi mutlaka başarılmalıdır"
"Seminer Dersi ve Yürütülmesi (Jüri - Başarılı)"," öğretim üyelerinden oluşan üç kişilik jüri tarafından başarılı veya başarısız olarak değerlendirilir."
"Seminer Dersi ve Yürütülmesi (Form-24)","PDF formatındaki elektronik kopyası ile birlikte Form-24 EABD Başkanının üst yazısı ekinde en geç 3 (üç) iş günü içinde Üniversitenin elektronik belge yönetim sistemi (EBYS) üzerinden enstitüye iletilir."
"Bilimsel Hazırlık Programı Yürütülmesi","Öğrenci bir yarıyılda en çok 20 AKTS kredisinde ders alabilir"
"Tezli Yüksek Lisans Programı (Genel)","Tezli yüksek lisans programı toplam 21 Ulusal
ve 120 AKTS kredisinden az olmamak
koşuluyla en az 7 (yedi) ders (FBE610 Dahil)
ile seminer dersi ve tez çalışmasından oluşur."
"Tezli Yüksek Lisans Programı (Seminer)","Seminer dersi ve tez çalışması kredisiz olup başarılı (B) veya başarısız (K) olarak değerlendirilir."
"Tezli Yüksek Lisans Süre","Her dönem için kayıt yaptırıp yaptırmadığına bakılmaksızın 4 (dört) yarıyıl olup program en çok 6 (altı) yarıyılda tamamlanır."
"Tezli Yüksek Lisans Süre (İlişiği Kesime Hakkında)","Dört yarıyıl sonunda öğretim planında yer alan kredili derslerini ve seminer dersini başarıyla tamamlayamayan veya bu süre içerisinde başarı koşullarını/ölçütlerini yerine getiremeyen; azami süreler içerisinde ise tez çalışmasında ve tez savunmasında başarısız olan veya tez savunmasına girmeyen öğrencinin Enstitü ile İLİŞİĞİ KESİLİR"
"Tezli Yüksek Lisans Tez Konusu Önerisi","Tez önerisi sadece Enstitü web sayfasında yer alan Form-30 kullanılarak, danışmanın gözetiminde öğrenci tarafından hazırlanır ve
en erken ikinci yarıyılın başında veya en geç ikinci yarıyılın sonunda danışman tarafından EABD Başkanlığına/Program Koordinatörlüğüne
sunulur."
"Yüksek Lisans Tez Konusu Önerisi ile  ilgili İzinler","Tez çalışması, insan ve/veya hayvan üzerinde uygulama yapılarak gerçekleştirilecek ise ilgili etik kurullardan Etik Kurul İzin Belgesi alınarak Tez Öneri Formu olan Form-30 ile birlikte enstitüye teslim edilir. Anket veya ölçek uygulanan soru-cevap yöntemleri ile
gerçekleştirilecek tez çalışmaları için, Bilgilendirilmiş Gönüllü Olur Formu alınmış olsa dahi etik kurul onayı alınması zorunludur. Yasal veya Özel İzin Belgesi gerektiren durumlarda, tez önerisi enstitü tarafından kabul edilen öğrenciler, izin belgelerini aldıktan sonra tez
çalışmalarına başlayabilir."
"Yüksek Lisans Tez Savunmasına  Girebilme şartı ","Öğrencinin, tez savunmasına girebilmesi için yüksek lisans eğitimi süresince en az bir sempozyum/kongrede alanıyla ilgili sözlü bildiri
sunması veya ulusal/uluslararası yayınevleri tarafından basılan kitap veya kitap bölümünün bulunması veya dergilerde yayımlanmış/DOI
numarası almış makalesinin olması gereklidir. Bu şartın sağlanması için sunulacak bir akademik faaliyet (makale, bildiri vs.) birden fazla öğrencinin mezuniyet şartı olarak kullanılamaz.
NOT: Bu şart 2021-2022 Bahar dönemi öncesinde kayıt yaptıran Yüksek
Lisans öğrencileri için geçerli değildir."
"Yüksek Lisans Tez savunma Sınav Jürisi","Yüksek lisans tez jürisi, biri öğrencinin tez
danışmanı, en az biri de kendi yükseköğretim
kurumu dışından olmak üzere danışman dâhil 3
(üç) öğretim üyesinden oluşur."
